"PLOT","LAT","LONG","ELEVgps","Date","vegtype_1","vegtype_2","Locality.Relief","EXP","INCL","Tree_cover","Tree_height","Shrub_cover","Shrub_height","Herb_cover","Herb_height","Bryo_Moos","Lich_Flechten","Soil","Rock","Dead_Wood","Litter","soil_type","Total_Depth_to_parentrock","soil_color_7.5YR","organic_content","HCL","SOIL","year"
"A47",14.976817,-24.2922549,100,"24.09.2015","lava","lava_young","","NE",8,0,0,2,0.3,2,0.2,0,0,0,95,0,0,NA,NA,NA,NA,NA,NA,"2015"
"B02",14.880138,-24.491111,15,"16.09.2015","beach","beach_spühlsaum","beach","SW",1,0,0,75,4,0,0,0,0,0,5,5,90,"A/C",0.1,NA,"h3","c0","ss","2015"
"B03",14.880136,-24.490913,22,"16.09.2015","beach","beach_spühlsaum","beach","SW",1,0,0,75,4,0,0,0,0,0,5,5,90,"A/C",0.1,NA,"h3","c0","ss","2015"
"B04",14.879897,-24.490481,7,"16.09.2015","beach","beach_spühlsaum","beach","SW",1,0,0,75,4,0,0,0,0,0,5,5,90,"A/C",0.1,NA,"h3","c0","ss","2015"
"B06",14.881595,-24.494485,9,"16.09.2015","beach","beach_verlandungszone","beach","SW",5,0,0,25,2.5,1,0.1,0,0,0,0,5,20,NA,0,NA,NA,"c0",NA,"2015"
"B31",14.874203,-24.3589659,915,"19.09.2015","agric_ext","agric_extensive_open","","SE",3,1,4,5,2,25,0.3,0,0,60,0,0,0,"Kolluvisol",NA,"4/5","h4","c0","schluffig tonig","2015"
"B49",14.9850339,-24.292388,58,"24.09.2015","lava","lava_unknown","","E",25,0,0,0,0,10,0.4,0,1,1,90,0,1,NA,NA,NA,NA,NA,NA,"2015"
"C06",15.007237,-24.338516,1121.848145,"03.10.2016","","","Forest, Repeat: A030","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","2016"
"C07",15.016871,-24.405073,535.994507,"05.10.2016","","","Ruderal slopes in agricultural used region","NW",60,0,0,11,0.8,95,0.35,0,0,1,7,0,0,"",NA,"","","","","2016"
"C16",15.013567,-24.433605,155.61676,"06.10.2016","","","Ruderal slopes in agricultural used region","N",5,0,0,1,1.3,85,0.6,0,0,10,1,0,1,"",NA,"","","","","2016"
"X01",14.968505,-24.368972,1750,"30.09.2016","","","Cha de Caldera, around settlements","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","2016"
"X02",14.992224,-24.35825,1640,"30.09.2016","","","Caldera, Eucalyptus forest ","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","2016"
"X03",14.962982,-24.351735,1810,"01.10.2016","","","Cha de Caldera, trail to volcane top","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","2016"
"X04",14.992871,-24.35673,1780,"01.10.2016","","","Caldera, Eucalyptus forest ","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","2016"
"X05",14.973645,-24.357314,1780,"02.10.2016","","","Cha de Caldera: lava cave ","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","2016"
"X06",14.961422,-24.363087,1800,"01.10.2016","","","Cha de Caldera, trail from volcane top","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","2016"
"X07",14.992178,-24.358758,1750,"03.10.2016","","","Caldera, Eucalyptus forest ","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","2016"
"X08",15.003899,-24.34242,1380,"03.10.2016","","","footpath Caldera - Mosteiros","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","2016"
"X09",14.995833,-24.344536,1580,"03.10.2016","","","Cha de Caldera, east NP post","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","2016"
"X10",15.033926,-24.324703,20,"05.10.2016","","","Mosteiros","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","2016"
"X11",15.017566,-24.415469,350,"06.10.2016","","","road along NW coast","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","2016"
"X12",15.014823,-24.421837,280,"06.10.2016","","","road along NW coast","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","2016"
"X13",15.013853,-24.433927,150,"06.10.2016","","","road along NW coast","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","2016"
"X14",15.012788,-24.431192,200,"06.10.2016","","","road along NW coast","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","2016"
"X15",15.018329,-24.396655,180,"06.10.2016","","","road along NW coast","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","2016"
"X16",15.033926,-24.324703,20,"07.10.2016","","","Mosteiros","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","2016"
"X17",15.006844,-24.393814,980,"09.10.2016","","","foot path NW coast","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","2016"
"X18",14.887829,-24.485134,165,"11.10.2016","","","Flughafen Sao Filipe","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","2016"
"X19",14.955656,-24.38569,1790,"01.10.2016","","","Cha de Caldera, vinery","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","2016"
"A02",14.87983,-24.491084,25,"16.09.2015","beach","beach_spühlsaum","beach","W",1,0,0,0,0,0,0,0,0,0,100,0,0,NA,NA,NA,"h0","c0",NA,"2015"
"A03",14.879666,-24.49069,1,"16.09.2015","beach","beach_spühlsaum","beach","W",1,0,0,0,0,0,0,0,0,0,100,0,0,NA,NA,NA,"h0","c0",NA,"2015"
"A04",14.87947,-24.490128,2,"16.09.2015","beach","beach_spühlsaum","beach","W",1,0,0,0,0,0,0,0,0,0,100,0,0,NA,NA,NA,"h0","c0",NA,"2015"
"A25",15.002187,-24.344529,1420,"20.09.2015","forest","forest_nebel","","NE",45,50,15,5,1.5,10,0.4,0,0.01,60,20,1,20,"Andosol",NA,"5/8","h2","c0","sand","2015"
"A26",15.001862,-24.344965,1429,"20.09.2015","forest","forest_nebel","","NE",45,50,15,5,1.5,10,0.4,0,0.01,60,20,1,20,"Andosol",NA,"5/8","h2","c0","sand","2015"
"A27",15.001298,-24.345061,1439,"20.09.2015","forest","forest_nebel","","NE",45,50,15,5,1.5,10,0.4,0,0.01,60,20,1,20,"Andosol",NA,"5/8","h2","c0","sand","2015"
"B16",14.901127,-24.354513,1449,"18.09.2015","agric_ext","agric_extensive_open","caldera slope out","SW",20,0,0,20,1,40,0.1,0,0,30,0,3,0,NA,NA,"5/4",NA,"c0",NA,"2015"
"B17",14.900365,-24.355321,1435,"18.09.2015","agric_ext","agric_extensive_open","caldera slope out","SW",20,0,0,20,1,40,0.1,0,0,30,0,3,0,NA,NA,"5/4",NA,"c0",NA,"2015"
