PLOT;LAT;LONG;ELEVgps;Date;vegtype_1;vegtype_2;Locality Relief;EXP;INCL;Tree_cover;Tree_height;Shrub_cover;Shrub_height;Herb_cover;Herb_height;Bryo_Moos;Lich_Flechten;Soil;Rock;Dead_Wood;Litter;soil_type;Total_Depth_to_parentrock;soil_color_7,5YR;organic_content;HCL;SOIL
A47;14,9768170;-24,2922549;100;24.09.2015;lava;lava_young;;NE;8;0,00;0,00;2,00;0,30;2,00;0,20;0,00;0,00;0,00;95,00;0,00;0,00;NA;NA;NA;NA;NA;NA
B02;14,8801380;-24,4911110;15;16.09.2015;beach;beach_spühlsaum;beach;SW;1;0,00;0,00;75,00;4,00;0,00;0,00;0,00;0,00;0,00;5,00;5,00;90,00;A/C;0,1;NA;h3;c0;ss
B03;14,8801360;-24,4909130;22;16.09.2015;beach;beach_spühlsaum;beach;SW;1;0,00;0,00;75,00;4,00;0,00;0,00;0,00;0,00;0,00;5,00;5,00;90,00;A/C;0,1;NA;h3;c0;ss
B04;14,8798970;-24,4904810;7;16.09.2015;beach;beach_spühlsaum;beach;SW;1;0,00;0,00;75,00;4,00;0,00;0,00;0,00;0,00;0,00;5,00;5,00;90,00;A/C;0,1;NA;h3;c0;ss
B06;14,8815950;-24,4944850;9;16.09.2015;beach;beach_verlandungszone;beach;SW;5;0,00;0,00;25,00;2,50;1,00;0,10;0,00;0,00;0;0;5,00;20,00;NA;0;NA;NA;c0;NA
B31;14,8742030;-24,3589659;915;19.09.2015;agric_ext;agric_extensive_open;;SE;3;1,00;4,00;5,00;2,00;25,00;0,30;0,00;0,00;60,00;0;0;0;Kolluvisol;NA;4/5;h4;c0;schluffig tonig
B49;14,9850339;-24,2923880;58;24.09.2015;lava;lava_unknown;;E;25;0,00;0,00;0,00;0,00;10,00;0,40;0,00;1,00;1,00;90,00;0,00;1,00;NA;NA;NA;NA;NA;NA
C06;15,007237;-24,338516;1121,848145;03.10.2016;;;Forest, Repeat: A030;;;;;;;;;;;;;;;;;;;;
C07;15,016871;-24,405073;535,994507;05.10.2016;;;Ruderal slopes in agricultural used region;NW;60;0;0;11;0,80;95;0,35;0;0;1;7;0;0;;;;;;
C16;15,013567;-24,433605;155,61676;06.10.2016;;;Ruderal slopes in agricultural used region;N;5;0;0;1;1,30;85;0,60;0;0;10;1,00;0;1,00;;;;;;
X01;14,968505;-24,368972;1750;30.09.2016;;;Cha de Caldera, around settlements;;;;;;;;;;;;;;;;;;;;
X02;14,992224;-24,35825;1640;30.09.2016;;;Caldera, Eucalyptus forest ;;;;;;;;;;;;;;;;;;;;
