lfd,year,NOTE,PLOT,ID,identisches Exemplar,FOTO jk,HERBAR,HARBAR-FOTO,Status,FAM,SPECIES,FIELD NAME,REMARKS,LOBIN,note LOBIN,COVER,ID checklist,SOURCE,END,HF-Ordner,REMARKS (alt)
1,2015,,B01,B01-01,,,x,x,spec,Mimosaceae,Prosopis juliflora,,,conf Lobin (2016-01),,5,840,IS,,,
2,2015,,B02,,B01-01,,x,x,spec,Mimosaceae,Prosopis juliflora,,,,,5,840,IS,,,
3,2015,,B03,,B01-01,,x,x,spec,Mimosaceae,Prosopis juliflora,,,,,5,840,IS,,,
4,2015,,B04,,B01-01,,x,x,spec,Mimosaceae,Prosopis juliflora,,,,,5,840,IS,,,
5,2015,ist das B05-01 ??,B05,,B01-01,,x,x,spec,Mimosaceae,Prosopis juliflora,,,,,2,840,IS,,,
6,2015,,B05,B05-02,,,x,x,spec,Portulacaceae,Portulaca oleracea,Portulak (fleshy leaves),,conf Lobin (2016-01),,r,709,IS,,,
7,2015,,B05,B05-03,,,x,x,fam,Cucurbitaceae,Cucurbitaceae spec.,"Cucurbitaceae, Feigenblatt",,conf Lobin (2016-01),nicht mehr,r,,,,,
8,2015,,B05,B05-04,,,x,x,group,Poaceae,Poaceae [grass 3] ,"Poaceae, Blattspreite unterhalb stark behaart",,,keine Ahnung,r,,,,,
9,2015,,B05,B05-05,,,x,,spec,Poaceae,Cenchrus ciliaris,cf. Kammgras (Blütenform),,det Lobin (2016-01),,r,1191,NS,,,
10,2015,,B05,,Test 01,,x,x,spec,Boraginaceae,Heliotropium ramosissimum,Boraginaceae,,,,r,611,NO,,,
11,2015,,B05,B05-06,,,x,x,spec,Capparaceae,Cleome viscosa,,,,,1,642,NP,,,
12,2015,,B05,B05-07,,,x,x,spec,Zygophyllaceae,Zygophyllum simplex,"Rundes Fleischblatt, sukkulent?",,det Lobin (2016-01),,r,875,NS,,,
13,2015,,B05,B05-08,,,x,,spec_cf,Tiliaceae,Corchorus tridens,,,det Lobin (2016-01),für Art Früchte!,r,935,IS,,,gezähntes Blatt eine gelbe Blüte
14,2015,,B05,B05-09,,,x,,spec,Aizoaceae,Sesuvium portulacastrum,,,det Lobin (2016-01),,r,647,NS,,,Nummerkonfusion: ergänzt!
15,2015,,B06,B06-01,,,x,x,spec,Nyctaginaceae,Boerhavia coccinea,Glaskraut,,det Lobin (2016-01),,r,700,IS,,,
16,2015,,B06,,B05-06,,x,x,spec,Capparaceae,Cleome viscosa,,,,,r,642,NP,,,
17,2015,,B06,,B05-04,,x,x,group,Poaceae,Poaceae [grass 3] ,"Poaceae, Blattspreite unterhalb stark behaart",,,,r,,,,,
18,2015,,B06,,B05-07,,x,x,spec,Zygophyllaceae,Zygophyllum simplex,"Rundes Fleischblatt, sukkulent?",,,,r,875,NS,,,
19,2015,,B06,B06-02,,,x,x,spec_cf,Tiliaceae,Corchorus tridens,,,det Lobin (2016-01),für Art Früchte!,r,935,IS,,,gezähntes Blatt eine gelbe Blüte
20,2015,,B06,B06-03,,,x,x,spec,Euphorbiaceae,Phyllanthus rotundifolius,Caryophyllaceae?,,det Lobin (2016-01),,r,749,NS,,,
21,2015,,B06,B06-04,,,x,x,spec,Urticaceae,Forsskaolea procridifolia,,,,,r,1085,NS,x,,Forsskaolea viridis
22,2015,,B06,,B05-01,,x,x,spec,Mimosaceae,Prosopis juliflora,,,,,2,840,IS,,,
23,2015,,B07,,A06-07,,,,spec,Asteraceae,Bidens bipinnata,"Tagetes (Bem: A12-01 Hintergrund, Art, die überall hoch deckend spross)",,,,r,543,IS,,,vorher: Tagetes mit Fiederblättern
24,2015,,B07,,B05-06,,x,x,spec,Capparaceae,Cleome viscosa,,,,,3,642,NP,,,
25,2015,,B07,,A05-01,,x,x,spec,Poaceae,Brachiaria xantholeuca,Poaceae (gebügelt),,,,1,1182,NO,,,
26,2015,,B07,,A06-01,,,x,gen,Poaceae,Aristida spec.,Poaceae,,,,2,,ergNP,,,lange Haare an der Basis der Ligula (= B07-02)
27,2015,,B07,,B06-02,,x,x,spec_cf,Tiliaceae,Corchorus tridens,,,,,1,935,IS,,,
28,2015,,B07,B07-02,,,x,x,gen,Poaceae,Aristida spec.,Poaceae,,,keine Ahnung,+,,ergNP,,,lange Haare an der Basis der Ligula (= A06-01)
29,2015,,B07,B07-03,,,,x,spec,Lamiaceae,Salvia aegyptiaca,Lamiaceae,,conf Lobin (2016-01),,+,891,NP,,,haariger Stängel
31,2015,,B07,B07-04,,,,,spec,Cistaceae,Helianthemum gorgoneum,,,,,r,1091,NS,x,,Blüten an Stängelunterseite
32,2015,,B07,B07-05,,,x,x,spec,Nyctaginaceae,Boerhavia coccinea,,,det Lobin (2016-01),,+,700,IS,,,(=A08-02 + A05-02)
33,2015,,B07,,A06-05,,,,group,???,SPEC 1 ,Erlenförmige Blätter,,,,2,,,,,
34,2015,,B07,B07-06,,,x,x,gen,Amaranthaceae,Amaranthus spec.,The flips plant,,det Lobin (2016-01),,1,,ergIS,,,Blüten an Blattachseln (= B10-03)
35,2015,,B07,B07-07,,,,,group,???,SPEC 3 ,Rote Knäuelblüte,,,,+,,,,,
36,2015,,B07,B07-08,,,,,skip,,,Schwalbenwurz,,,,+,,,,,
37,2015,,B08,,,x,,,cult,Euphorbiaceae,Jatropha curcas,,,,,5,744,IS,,,
38,2015,,B08,,A06-07,,,,spec,Asteraceae,Bidens bipinnata,"Tagetes (Bem: A12-01 Hintergrund, Art, die überall hoch deckend spross)",,,,2,543,IS,,,
39,2015,,B08,,A06-06,,,,fam,Fabaceae,Fabaceae spec. 2,"Fabaceae, scheiß klein, Eiblätter",,,,+,,,,,
40,2015,,B08,B08-01,,,,,fam,Fabaceae,Fabaceae spec. 1,Fabaceae (spitzes Eiblatt),,,,1,,,,,
41,2015,,B08,B08-02,,,x,,group,Poaceae,Poaceae [grass 0] ,"Poaceae (Stiel flach, Seitenkiel)",,,nicht bestimmbar,+,,,,,(= A07-04 ?)
42,2015,,B08,B08-03,,,,,fam,Lamiaceae,Lamiaceae spec. 1,Melissenblatt,,,,r,,,,,
43,2015,,B09,,B05-01,,,,spec,Mimosaceae,Prosopis juliflora,,,,,4,840,IS,,,
44,2015,,B09,B09-01,,,x,x,spec,Nyctaginaceae,Commicarpus helenae,,,conf Lobin (2016-01),,r,704,NO,,,kleine Blüte mit fleischigen Blättern
45,2015,,B09,,B08-02,,x,,group,Poaceae,Poaceae [grass 0] ,"Poaceae (Stiel flach, Seitenkiel)",,,,2,,,,,(= A07-04 ?)
46,2015,,B09,,A06-03,,x,x,gen,Convolvulaceae,Ipomoea spec.,"Convolvulaceae spec., bean similar",,,,+,,ergIP,,,
47,2015,,B09,,B08-03,,,,fam,Lamiaceae,Lamiaceae spec. 1,Melissenblatt,,,,+,,,,,
48,2015,,B09,B09-02,,,,,fam,Cyperaceae,Cyperaceae spec.,Carex,,,,+,,,,,
49,2015,,B09,,A06-07,,,,spec,Asteraceae,Bidens bipinnata,"Tagetes (Bem: A12-01 Hintergrund, Art, die überall hoch deckend spross)",,,,2,543,IS,,,"Fabaceae II, Federblätter"
50,2015,,B09,,A06-06,,,,fam,Fabaceae,Fabaceae spec. 2,"Fabaceae, scheiß klein, Eiblätter",,,,1,,,,,Fabaceae I
51,2015,,B09,B09-03,,,,,fam,Fabaceae,Fabaceae spec. 1,"Fabaceae IV, Buschig",,,,r,,,,,
52,2015,,B09,,B05-06,,x,x,spec,Capparaceae,Cleome viscosa,,,,,2,642,NP,,,
53,2015,,B10,,B05-06,,x,x,spec,Capparaceae,Cleome viscosa,,,,,2,642,NP,,,
54,2015,,B10,,B06-02,,x,x,spec_cf,Tiliaceae,Corchorus tridens,,,,,2,935,IS,,,
55,2015,,B10,B10-01,,,x,x,spec,Portulacaceae,Portulaca oleracea,,,conf Lobin (2016-01),,1,709,IS,,,
56,2015,,B10,,A06-03,,x,x,gen,Convolvulaceae,Ipomoea spec.,"Convolvulaceae spec., bean similar",,,,1,,ergIP,,,
